STATE_NAME,ST_ABBREV,REGION,ACSTOTPOP,D_PNPL_2,B_PNPL_D2,P_PNPL_D2,D_PTSDF_2,B_PTSDF_D2,P_PTSDF_D2,D_PWDIS_2,B_PWDIS_D2,P_PWDIS_D2,DSLPM,B_DSLPM,P_DSLPM,PRE1960PCT,PNPL,B_PNPL,P_PNPL,PTSDF,B_PTSDF,P_PTSDF,PWDIS,B_PWDIS,P_PWDIS,MINORPCT,B_MINORPCT,P_MINORPCT,LOWINCPCT,B_LWINCPCT,P_LWINCPCT,T_PNPL,T_PNPL_D2,T_PTSDF,T_PTSDF_D2,T_PWDIS_D2,Shape_Length,Shape_Area
North Carolina,NC,4,1593,-3.213845398,5,43,-48.21690066,3,23,-0.161730582,2,14,0.27377048,2,18,0.239092496,0.013621966,1,9,0.204368566,6,51,0.000685499,8,72,0.080351538,2,14,0.339948784,5,45,0.014 facilities/km distance (9%ile),43%ile,0.2 facilities/km distance (51%ile),23%ile,14%ile,22065.20593,23285455.87
North Carolina,NC,4,761,-0.705775358,6,52,-8.300262288,5,43,0,8,70,0.27377048,2,18,0.289473684,0.018754611,3,21,0.220563363,6,53,0,4,39,0.021024967,1,3,0.596583443,9,84,0.019 facilities/km distance (21%ile),52%ile,0.22 facilities/km distance (53%ile),43%ile,70%ile,11469.64471,6462518.869
North Carolina,NC,4,1766,-3.236421893,5,43,-80.93381662,2,18,0,8,70,0.27377048,2,18,0.057873486,0.018475002,3,20,0.462007884,7,65,0,4,39,0.041902605,1,7,0.476217441,7,68,0.018 facilities/km distance (20%ile),43%ile,0.46 facilities/km distance (65%ile),18%ile,70%ile,16752.29311,8844295.653
North Carolina,NC,4,3445,-1.053385626,6,51,-3.917085496,5,48,-0.881354439,1,8,0.27377048,2,18,0.090759076,0.017532933,2,18,0.065197395,3,27,0.014669584,9,89,0.162264151,3,28,0.519366197,8,75,0.018 facilities/km distance (18%ile),51%ile,0.065 facilities/km distance (27%ile),48%ile,8%ile,22870.53092,22662299.74
North Carolina,NC,4,1054,-3.8222177,5,41,-17.19895211,4,35,-2.235954946,1,6,0.27377048,2,18,0.095412844,0.01629243,2,16,0.073311557,4,30,0.009530891,9,87,0.015180266,1,2,0.256166983,4,30,0.016 facilities/km distance (16%ile),41%ile,0.073 facilities/km distance (30%ile),35%ile,6%ile,25572.3086,15421430.29
North Carolina,NC,4,1499,-1.006812446,6,51,-2.155294642,6,51,0,8,70,0.167281572,1,3,0.392318244,0.014586341,2,12,0.031225143,2,10,0,4,39,0.12808539,3,22,0.496330887,8,71,0.015 facilities/km distance (12%ile),51%ile,0.031 facilities/km distance (10%ile),51%ile,70%ile,82082.16984,281738217.3
North Carolina,NC,4,594,-0.009586606,6,54,-0.110723857,6,54,0,8,70,0.167281572,1,3,0.317507418,0.007354488,1,0,0.084943226,4,34,0,4,39,0.048821549,1,8,0.663299663,10,90,0.0074 facilities/km distance (0%ile),54%ile,0.085 facilities/km distance (34%ile),54%ile,70%ile,18123.59809,17471550.47
North Carolina,NC,4,1139,0.938923179,6,58,3.661325515,6,59,0.003825835,8,77,0.167281572,1,3,0.221052632,0.015662427,2,14,0.061075544,3,25,6.38E-05,6,58,0.047410009,1,8,0.774363477,11,96,0.016 facilities/km distance (14%ile),58%ile,0.061 facilities/km distance (25%ile),59%ile,77%ile,38126.72269,70630482.31
North Carolina,NC,4,1478,0.2160407,6,55,1.756983907,6,57,0.185705289,9,87,0.167281572,1,3,0.251968504,0.016619762,2,16,0.135162748,5,44,0.014286094,9,89,0.182679296,4,32,0.551420839,8,79,0.017 facilities/km distance (16%ile),55%ile,0.14 facilities/km distance (44%ile),57%ile,87%ile,18928.52139,14323972.62
North Carolina,NC,4,1121,-4.003527,5,40,-13.62730997,4,37,0,8,70,0.162416284,1,3,0.330065359,0.019238114,3,22,0.065483197,3,27,0,4,39,0.062444246,2,11,0.282783229,4,34,0.019 facilities/km distance (22%ile),40%ile,0.065 facilities/km distance (27%ile),37%ile,70%ile,92651.14917,250268399.7
